ClientNo	RoleType	DocType	NoOfCopy	promptUser	collated	PrinterSetup	ReportNo
-2	1	2	1	0	1	0	7
-2	1	7	1	0	1	0	9
-2	1	20	1	0	1	1	108
-2	1	20	1	0	1	0	200
-1	1	3	1	0	1	0	20
-1	1	6	1	0	1	0	22
-1	1	14	1	0	1	0	45
-1	1	21	1	0	1	0	109
-1	1	22	1	0	1	0	110
-1	1	536	1	0	1	0	599
-1	1	601	1	0	1	0	20
-1	1	603	1	0	1	0	22
-1	2	6	1	0	1	0	100
-1	2	8	1	0	1	0	21
-1	2	9	1	0	1	0	23
-1	2	15	1	0	1	0	47
1	1	4	1	0	1	0	43
1	1	6	1	0	1	0	22
1	1	8	1	0	1	0	38
1	1	9	1	0	1	0	23
1	1	10	1	0	1	0	39
1	1	12	1	0	1	0	41
1	1	13	1	0	1	0	42
1	1	17	1	0	1	0	55
1	1	18	1	0	1	0	56
14	1	2	2	0	1	0	91
14	1	7	1	0	1	0	82
20	1	2	1	0	1	0	91
20	1	7	1	0	1	0	82
25	1	2	3	0	1	0	1
25	1	7	2	0	1	0	9
25	9	2	1	0	1	0	1
25	9	7	1	0	1	0	9
27	1	2	1	0	1	0	93
27	1	6	1	0	1	0	22
27	1	7	1	0	1	0	81
32	1	1	1	0	1	0	16
32	1	2	4	0	1	0	92
32	1	7	1	0	1	0	103
32	2	9	1	0	1	0	23
38	1	6	1	0	1	0	33
38	2	6	1	0	1	0	33
44	15	2	3	0	1	0	1
44	15	6	1	0	1	0	22
44	15	7	2	0	1	0	9
45	1	1	1	0	1	0	14
45	1	2	2	0	1	0	1
45	1	6	1	0	1	0	22
45	1	7	1	0	1	0	9
49	1	2	1	0	1	0	91
49	1	6	1	0	1	0	22
49	1	7	1	0	1	0	82
49	1	14	1	0	1	0	45
60	1	2	3	0	1	0	1
60	1	7	1	0	1	0	9
61	1	2	2	0	1	0	1
61	1	7	1	0	1	0	44
61	2	9	1	0	1	0	23
63	1	2	3	0	1	0	1
63	1	7	1	0	1	0	9
68	1	2	1	0	1	0	91
68	1	7	1	0	1	0	81
68	2	9	1	0	1	0	35
68	2	14	1	0	1	0	33
70	1	2	2	0	1	0	24
70	1	7	2	0	1	0	25
73	1	2	3	0	1	0	1
73	1	7	2	0	1	0	9
74	1	2	2	0	1	0	1
74	1	7	1	0	1	0	9
76	1	2	2	0	1	0	24
76	1	7	2	0	1	0	25
83	1	2	2	0	1	0	91
83	1	6	1	0	1	0	22
83	1	7	1	0	1	0	81
96	1	2	3	0	1	0	1
96	1	7	2	0	1	0	9
97	1	2	2	0	1	0	91
97	1	7	1	0	1	0	82
103	2	1	1	0	1	0	71
103	2	2	1	0	1	0	91
103	2	7	1	0	1	0	9
111	2	2	2	0	1	0	1
111	2	7	1	0	1	0	9
116	1	2	2	0	1	0	1
116	1	6	1	0	1	0	22
116	1	7	1	0	1	0	9
117	1	2	1	0	1	0	91
117	1	7	1	0	1	0	82
120	1	2	3	0	1	0	92
120	1	7	1	0	1	0	81
120	2	2	3	0	1	0	92
120	2	7	1	0	1	0	81
123	1	2	1	0	1	0	91
123	1	7	1	0	1	0	82
132	1	2	3	0	1	0	1
132	1	7	1	0	1	0	9
138	1	2	1	0	1	0	91
138	1	7	1	0	1	0	82
139	1	2	3	0	1	0	1
139	1	7	1	0	1	0	9
140	1	2	1	0	1	0	91
140	1	6	1	0	1	0	22
140	1	7	1	0	1	0	82
140	2	2	3	0	1	0	1
140	2	7	3	0	1	0	9
146	1	2	2	0	1	0	92
146	1	6	1	0	1	0	22
146	1	7	1	0	1	0	81
156	1	2	2	0	1	0	1
157	1	2	3	0	1	0	1
157	1	7	2	0	1	0	9
164	1	2	2	0	1	0	91
164	1	7	1	0	1	0	82
168	1	2	2	0	1	0	91
168	1	7	1	0	1	0	82
170	1	2	1	0	1	0	91
170	1	7	1	0	1	0	82
172	1	2	3	0	1	0	1
172	1	7	3	0	1	0	9
177	1	2	2	0	1	0	91
177	1	6	1	0	1	0	22
177	1	7	1	0	1	0	82
178	1	2	1	0	1	0	1
178	1	6	1	0	1	0	22
178	1	7	1	0	1	0	9
178	1	9	1	0	1	0	23
178	2	9	1	0	1	0	23
178	7	2	3	0	1	0	1
178	7	7	2	0	1	0	9
182	2	9	1	0	1	0	23
186	1	2	3	0	1	0	1
186	1	6	1	0	1	0	22
186	1	7	2	0	1	0	9
194	1	2	3	0	1	0	1
194	1	7	2	0	1	0	9
212	1	2	3	0	1	0	1
212	1	7	1	0	1	0	9
214	2	9	1	0	1	0	23
218	1	1	1	0	1	0	14
218	2	1	1	0	1	0	14
218	2	2	3	0	1	0	1
218	2	7	2	0	1	0	25
220	1	2	3	0	1	0	7
220	1	6	1	0	1	0	22
220	1	7	2	0	1	0	10
222	2	2	1	0	1	0	1
227	1	1	1	0	1	0	14
227	1	2	3	0	1	0	91
227	1	3	1	0	1	0	20
227	1	7	1	0	1	0	82
227	2	6	1	0	1	0	33
227	2	9	1	0	1	0	35
230	1	2	3	0	1	0	1
230	1	7	1	0	1	0	44
232	1	2	3	0	1	0	1
232	1	7	2	0	1	0	9
247	1	2	1	0	1	0	91
247	1	7	1	0	1	0	82
273	1	2	3	0	1	0	7
273	1	6	1	0	1	0	22
273	1	7	2	0	1	0	10
276	1	2	1	0	1	0	93
276	1	6	1	0	1	0	109
276	1	7	1	0	1	0	103
278	1	2	3	0	1	0	7
278	1	6	1	0	1	0	22
278	1	7	2	0	1	0	10
280	1	2	3	0	1	0	1
280	1	7	2	0	1	0	9
281	1	2	3	0	1	0	7
281	1	6	1	0	1	0	22
281	1	7	2	0	1	0	10
283	1	2	2	0	1	0	24
283	1	6	1	0	1	0	33
283	1	7	2	0	1	0	25
285	1	2	2	0	1	0	92
285	1	6	1	0	1	0	22
285	1	7	1	0	1	0	81
286	1	2	2	0	0	0	24
286	1	6	1	0	1	0	33
286	1	7	2	0	0	0	25
289	1	2	2	0	1	0	93
289	1	6	1	0	1	0	22
289	1	7	1	0	1	0	81
292	1	2	3	0	1	0	7
292	1	6	1	0	1	0	22
292	1	7	2	0	1	0	10
293	1	2	3	0	1	0	2
293	1	7	3	0	1	0	10
294	1	2	3	0	1	0	7
294	1	6	1	0	1	0	22
294	1	7	2	0	1	0	10
295	1	2	2	0	1	0	93
295	1	6	1	0	1	0	109
295	1	7	1	0	1	0	81
296	1	2	3	0	1	0	7
296	1	6	1	0	1	0	22
296	1	7	2	0	1	0	10
298	1	2	1	0	1	0	91
298	1	6	1	0	1	0	22
298	1	7	1	0	1	0	82
299	1	2	2	0	1	0	93
299	1	6	1	0	1	0	22
299	1	7	1	0	1	0	81
300	1	2	3	0	1	0	2
300	1	7	3	0	0	0	10
301	1	2	1	0	1	0	93
301	1	6	1	0	1	0	22
301	1	7	1	0	1	0	81
302	1	2	1	0	1	0	91
302	1	7	1	0	1	0	82
304	1	2	3	0	1	0	7
304	1	6	1	0	1	0	22
304	1	7	2	0	0	0	10
305	1	2	3	0	1	0	92
305	1	7	2	0	1	0	81
307	1	2	2	0	1	0	7
307	1	6	1	0	1	0	22
307	1	7	1	0	1	0	10
312	1	2	3	0	1	0	7
312	1	6	1	0	1	0	22
312	1	7	2	0	1	0	10
313	1	2	3	0	1	0	7
313	1	6	1	0	1	0	22
313	1	7	2	0	1	0	10
314	1	2	2	0	1	0	93
314	1	6	1	0	1	0	22
314	1	7	1	0	1	0	81
316	1	2	1	0	1	0	93
316	1	6	1	0	1	0	22
316	1	7	1	0	1	0	81
317	1	2	3	0	1	0	92
317	1	7	2	0	1	0	81
319	1	2	3	0	1	0	7
319	1	6	1	0	1	0	22
319	1	7	2	0	1	0	10
320	1	2	3	0	1	0	7
320	1	6	1	0	1	0	22
320	1	7	2	0	1	0	10
321	1	2	3	0	1	0	7
321	1	6	1	0	1	0	22
321	1	7	2	0	1	0	10
322	1	2	2	0	1	0	93
322	1	6	1	0	1	0	22
322	1	7	1	0	1	0	81
354	1	2	1	0	1	0	7
354	1	6	1	0	1	0	22
354	1	7	1	0	1	0	81
354	1	13	1	0	1	0	42
355	1	2	3	0	1	0	7
355	1	7	2	0	1	0	81
356	1	2	1	0	1	0	92
356	1	6	1	0	1	0	22
356	1	7	1	0	1	0	81
358	1	2	3	0	1	0	92
358	1	7	2	0	1	0	81
359	1	2	3	0	1	0	7
359	1	6	1	0	1	0	22
359	1	7	2	0	1	0	10
361	1	2	1	0	1	0	92
361	1	6	1	0	1	0	22
361	1	7	1	0	1	0	81
363	1	2	1	0	1	0	92
363	1	6	1	0	1	0	22
363	1	7	1	0	1	0	81
364	1	2	3	0	1	0	7
364	1	6	1	0	1	0	22
364	1	7	2	0	1	0	10
368	1	2	1	0	1	1	91
368	1	6	1	0	1	0	22
368	1	7	1	0	1	1	81
368	1	14	1	0	1	0	45
369	1	2	3	0	1	0	5
369	1	7	2	0	1	0	9
370	1	2	1	0	1	0	91
370	1	6	1	0	1	0	22
370	1	7	1	0	1	0	82
370	1	14	1	0	1	0	69
371	1	2	3	0	1	0	7
371	1	6	1	0	1	0	22
371	1	7	1	0	1	0	10
372	1	2	3	0	1	0	7
372	1	6	1	0	1	0	22
372	1	7	1	0	1	0	10
373	1	2	2	0	1	0	24
373	1	7	2	0	1	0	25
375	1	2	1	0	1	0	7
375	1	4	1	0	1	0	43
375	1	6	1	0	1	0	22
375	1	7	1	0	1	0	10
378	1	2	2	0	1	0	24
378	1	6	1	0	1	0	33
378	1	7	2	0	1	0	25
380	1	2	1	0	1	0	92
380	1	6	1	0	1	0	22
380	1	7	1	0	1	0	81
383	1	2	3	0	1	0	7
383	1	6	1	0	1	0	22
383	1	7	1	0	1	0	10
384	1	2	2	0	1	0	7
384	1	6	1	0	1	0	22
384	1	7	1	0	1	0	10
386	1	2	3	0	1	0	3
386	1	6	1	0	1	0	22
386	1	7	2	0	1	0	10
387	1	1	1	0	1	0	16
387	1	2	1	0	1	0	93
387	1	6	1	0	1	0	22
387	1	7	1	0	1	0	103
388	1	2	3	0	1	0	7
388	1	6	1	0	1	0	22
388	1	7	2	0	1	0	81
389	1	2	2	0	1	0	7
389	1	6	1	0	1	0	22
389	1	7	1	0	1	0	10
390	1	2	1	0	1	0	91
390	1	6	1	0	1	0	22
390	1	7	1	0	1	0	82
391	1	2	2	0	1	0	87
391	1	7	1	0	1	0	82
397	1	2	2	0	1	0	1
397	1	6	1	0	1	0	22
397	1	7	2	0	1	0	9
399	1	2	3	0	1	0	7
399	1	7	2	0	1	0	10
403	1	2	2	0	1	0	93
403	1	6	1	0	1	0	109
403	1	7	1	0	1	0	81
404	1	1	1	0	1	0	16
404	1	2	3	0	1	0	7
404	1	6	1	0	1	0	22
404	1	7	1	0	1	0	10
406	1	2	1	0	1	0	91
406	1	7	1	0	1	0	82
407	1	2	3	0	1	0	1
407	1	7	2	0	1	0	9
408	1	2	2	0	1	0	91
408	1	6	1	0	1	0	22
408	1	7	1	0	1	0	82
409	1	2	1	0	1	0	92
409	1	6	1	0	1	0	22
409	1	7	1	0	1	0	81
410	1	2	3	0	1	0	7
410	1	6	1	0	1	0	22
410	1	7	2	0	1	0	10
411	1	2	1	0	1	0	93
411	1	6	1	0	1	0	22
411	1	7	1	0	1	0	81
412	1	2	3	0	1	0	92
412	1	7	2	0	1	0	81
414	1	2	2	0	1	0	7
414	1	6	1	0	1	0	22
414	1	7	2	0	1	0	10
415	1	2	3	0	1	0	1
415	1	6	1	0	1	0	22
415	1	7	1	0	1	0	9
416	1	2	3	0	1	0	92
416	1	7	2	0	1	0	81
417	1	2	1	0	1	0	91
417	1	6	1	0	1	0	22
417	1	7	1	0	1	0	82
417	1	9	1	0	1	0	23
418	1	2	1	0	1	0	93
418	1	6	1	0	1	0	22
418	1	7	1	0	1	0	81
419	1	2	3	0	1	0	7
419	1	6	1	0	1	0	22
419	1	7	3	0	1	0	10
420	1	2	2	0	1	0	7
420	1	6	1	0	1	0	22
420	1	7	1	0	1	0	10
421	1	2	3	0	1	0	7
421	1	6	1	0	1	0	22
421	1	7	2	0	1	0	10
424	1	2	3	0	1	0	1
424	1	7	1	0	0	0	9
426	1	2	1	0	1	0	93
426	1	6	1	0	1	0	109
426	1	7	1	0	1	0	81
427	1	2	2	0	1	0	7
427	1	6	1	0	1	0	22
427	1	7	2	0	1	0	10
430	1	2	1	0	1	0	93
430	1	6	1	0	1	0	22
430	1	7	1	0	1	0	81
432	1	2	1	0	1	0	94
432	1	6	1	0	1	0	109
432	1	7	1	0	1	0	103
433	1	2	3	0	1	0	7
433	1	6	1	0	1	0	22
433	1	7	2	0	1	0	10
436	1	2	3	0	1	0	7
436	1	6	1	0	1	0	22
436	1	7	2	0	1	0	10
437	1	2	3	0	1	0	7
437	1	6	1	0	1	0	22
437	1	7	2	0	1	0	10
439	1	2	1	0	1	0	93
439	1	6	1	0	1	0	22
439	1	7	1	0	1	0	103
440	1	2	3	0	1	0	7
440	1	6	1	0	1	0	22
440	1	7	2	0	1	0	10
443	1	2	3	0	1	0	7
443	1	6	1	0	1	0	22
443	1	7	2	0	1	0	10
445	1	2	2	0	1	0	93
445	1	6	1	0	1	0	22
445	1	7	1	0	1	0	81
446	1	2	1	0	1	0	93
446	1	6	1	0	1	0	22
446	1	7	1	0	1	0	81
447	1	2	3	0	1	0	1
447	1	7	1	0	1	0	9
448	1	2	2	0	1	0	91
448	1	6	1	0	1	0	22
448	1	7	1	0	1	0	82
449	1	2	3	0	1	0	7
449	1	6	1	0	1	0	22
449	1	7	2	0	1	0	10
450	1	2	2	0	1	0	7
450	1	6	1	0	1	0	22
450	1	7	1	0	1	0	10
451	1	2	2	0	1	0	93
451	1	6	1	0	1	0	22
451	1	7	1	0	1	0	81
452	1	2	3	0	1	0	93
452	1	6	1	0	1	0	109
452	1	7	2	0	1	0	81
453	1	2	3	0	1	0	7
453	1	7	1	0	1	0	10
453	1	13	1	0	1	0	42
455	1	2	3	0	1	0	2
455	1	6	1	0	1	0	22
455	1	7	2	0	1	0	10
456	1	2	3	0	1	0	7
456	1	6	1	0	1	0	22
456	1	7	2	0	1	0	10
458	1	2	3	0	1	0	7
458	1	6	1	0	1	0	22
458	1	7	2	0	1	0	10
459	1	2	3	0	1	0	92
459	1	7	2	0	1	0	81
460	1	2	3	0	1	0	7
460	1	6	1	0	1	0	22
460	1	7	2	0	1	0	10
462	1	2	2	0	1	0	7
462	1	6	1	0	1	0	22
462	1	7	1	0	1	0	10
463	1	2	2	0	1	0	93
463	1	6	1	0	1	0	22
463	1	7	1	0	1	0	81
467	1	2	2	0	1	0	7
467	1	6	1	0	1	0	22
467	1	7	1	0	1	0	10
469	1	2	2	0	1	0	7
469	1	6	1	0	1	0	22
469	1	7	1	0	1	0	10
470	1	1	1	0	1	0	16
470	1	2	2	0	1	0	7
470	1	6	1	0	1	0	22
470	1	7	1	0	1	0	10
471	1	2	1	0	1	0	93
471	1	6	1	0	1	0	22
471	1	7	1	0	1	0	103
472	1	2	6	0	1	0	7
472	1	7	4	0	1	0	12
473	1	2	2	0	1	0	24
473	1	6	1	0	1	0	33
473	1	7	2	0	1	0	25
474	1	2	2	0	1	0	93
474	1	6	1	0	1	0	22
474	1	7	1	0	1	0	81
476	1	2	3	0	1	0	7
476	1	6	1	0	1	0	22
476	1	7	2	0	1	0	10
477	1	2	3	0	1	0	7
477	1	7	2	0	1	0	10
479	1	2	3	0	1	0	2
479	1	7	2	0	1	0	10
481	1	2	2	0	1	0	92
481	1	7	1	0	1	0	81
482	1	1	3	0	1	0	14
482	1	2	2	0	1	0	1
482	1	7	1	0	1	0	9
485	1	2	2	0	1	0	93
485	1	6	1	0	1	0	22
485	1	7	1	0	1	0	81
486	1	2	3	0	1	0	93
486	1	6	1	0	1	0	22
486	1	7	2	0	1	0	81
487	1	2	2	0	1	0	7
487	1	6	1	0	1	0	22
487	1	7	1	0	1	0	10
490	1	2	1	0	1	0	95
490	1	7	1	0	1	0	53
492	1	2	2	0	1	0	92
492	1	6	1	0	1	0	22
492	1	7	1	0	1	0	81
494	1	2	2	0	1	0	93
494	1	6	1	0	1	0	22
494	1	7	1	0	1	0	81
495	1	2	3	0	1	0	92
495	1	6	1	0	1	0	22
495	1	7	2	0	1	0	81
498	1	2	1	0	1	0	93
498	1	6	1	0	1	0	109
498	1	7	1	0	1	0	81
500	1	2	3	0	1	0	7
500	1	6	1	0	1	0	22
500	1	7	2	0	1	0	10
502	1	2	3	0	1	0	24
502	1	7	2	0	1	0	9
503	1	2	2	0	1	0	92
503	1	7	1	0	1	0	81
504	1	2	2	0	1	0	91
504	1	7	1	0	1	0	82
505	1	2	2	0	1	0	7
505	1	6	1	0	1	0	22
505	1	7	1	0	1	0	10
507	1	1	1	0	1	0	16
507	1	2	1	0	1	0	93
507	1	6	1	0	1	0	22
507	1	7	1	0	1	0	103
508	1	2	2	0	1	0	93
508	1	6	1	0	1	0	22
508	1	7	1	0	1	0	81
510	1	2	1	0	1	0	93
510	1	6	1	0	1	0	109
510	1	7	1	0	1	0	81
514	1	2	2	0	1	0	93
514	1	6	1	0	1	0	22
514	1	7	1	0	1	0	81
516	1	2	3	0	1	0	1
516	1	6	1	0	1	0	22
516	1	7	3	0	1	0	9
517	1	2	3	0	1	0	7
517	1	7	2	0	1	0	10
518	1	2	2	0	1	0	93
518	1	6	1	0	1	0	22
518	1	7	1	0	1	0	81
521	1	2	2	0	1	0	7
521	1	6	1	0	1	0	22
521	1	7	1	0	1	0	10
522	1	2	3	0	1	0	93
522	1	6	1	0	1	0	22
522	1	7	2	0	1	0	81
525	1	2	2	0	1	0	5
525	1	7	2	0	1	0	9
527	1	2	1	0	1	0	93
527	1	6	1	0	1	0	22
527	1	7	1	0	1	0	81
529	1	2	2	0	1	0	7
529	1	6	1	0	1	0	22
529	1	7	1	0	1	0	10
530	1	2	3	0	1	0	5
530	1	7	2	0	1	0	9
531	1	2	1	0	1	0	93
531	1	6	1	0	1	0	22
531	1	7	1	0	1	0	81
532	1	2	2	0	1	0	93
532	1	6	1	0	1	0	22
532	1	7	1	0	1	0	81
534	1	1	1	0	1	0	16
534	1	2	1	0	1	0	93
534	1	6	1	0	1	0	22
534	1	7	1	0	1	0	70
535	1	2	1	0	1	0	7
535	1	6	1	0	1	0	22
535	1	7	1	0	1	0	10
536	1	2	2	0	1	0	93
536	1	6	1	0	1	0	109
536	1	7	1	0	1	0	81
538	1	2	1	0	1	0	8
540	1	2	2	0	1	0	93
540	1	6	1	0	1	0	22
540	1	7	1	0	1	0	81
541	1	2	2	0	1	0	7
541	1	6	1	0	1	0	22
541	1	7	1	0	1	0	10
542	1	2	3	0	1	0	7
542	1	6	1	0	1	0	22
542	1	7	2	0	1	0	10
554	1	2	1	0	1	0	92
554	1	6	1	0	1	0	22
554	1	7	1	0	1	0	81
558	1	2	2	0	1	0	92
558	1	6	1	0	1	0	22
558	1	7	1	0	1	0	81
560	1	2	3	0	1	0	7
560	1	6	1	0	1	0	22
560	1	7	2	0	1	0	10
561	1	2	3	0	1	0	7
561	1	6	1	0	1	0	22
561	1	7	2	0	1	0	10
562	1	2	3	0	1	0	92
562	1	7	2	0	1	0	81
565	1	2	1	0	1	0	24
565	1	7	1	0	1	0	25
566	1	2	3	0	1	0	7
566	1	6	1	0	1	0	22
566	1	7	3	0	1	0	10
568	1	2	3	0	1	0	92
568	1	7	2	0	1	0	81
569	1	2	3	0	1	0	7
569	1	6	1	0	1	0	22
569	1	7	2	0	1	0	10
570	1	2	3	0	1	0	7
570	1	7	2	0	1	0	81
572	1	2	3	0	1	0	92
572	1	7	2	0	1	0	81
573	1	2	2	0	1	0	7
573	1	6	1	0	1	0	22
573	1	7	1	0	1	0	10
575	1	2	3	0	1	0	7
575	1	6	1	0	1	0	22
575	1	7	2	0	1	0	10
578	1	2	3	0	1	0	1
578	1	7	1	0	1	0	9
579	1	2	3	0	1	0	7
579	1	6	1	0	1	0	22
579	1	7	2	0	1	0	10
581	1	2	2	0	1	0	92
581	1	6	1	0	1	0	22
581	1	7	1	0	1	0	103
583	1	2	2	0	1	0	7
583	1	6	1	0	1	0	22
583	1	7	1	0	1	0	10
588	1	2	3	0	1	0	7
588	1	6	1	0	1	0	22
588	1	7	2	0	1	0	10
591	1	2	3	0	1	0	7
591	1	6	1	0	1	0	22
591	1	7	2	0	1	0	10
592	1	2	4	0	1	0	49
592	1	7	1	0	1	0	12
594	1	2	2	0	1	0	93
594	1	6	1	0	1	0	22
594	1	7	1	0	1	0	81
601	1	1	1	0	1	0	16
601	1	2	3	0	1	0	7
601	1	6	1	0	1	0	22
601	1	7	2	0	1	0	10
602	1	2	3	0	1	0	7
602	1	6	1	0	1	0	22
602	1	7	2	0	1	0	10
604	1	2	3	0	1	0	7
604	1	6	1	0	1	0	22
604	1	7	2	0	1	0	10
605	1	1	1	0	1	0	16
605	1	2	1	0	1	0	93
605	1	6	1	0	1	0	22
605	1	7	1	0	1	0	103
606	1	2	3	0	1	0	93
606	1	6	1	0	1	0	22
606	1	7	2	0	1	0	81
607	1	2	3	0	1	0	2
607	1	7	2	0	1	0	10
609	1	2	3	0	1	0	7
609	1	7	2	0	1	0	81
611	1	2	2	0	1	0	93
611	1	6	1	0	1	0	22
611	1	7	1	0	1	0	81
612	1	1	1	0	1	0	16
612	1	2	2	0	1	0	7
612	1	6	1	0	1	0	22
612	1	7	1	0	1	0	10
614	1	2	3	0	1	0	7
614	1	6	1	0	1	0	22
614	1	7	2	0	1	0	10
616	1	2	3	0	1	0	7
616	1	6	1	0	1	0	22
616	1	7	2	0	1	0	10
617	1	2	3	0	1	0	5
617	1	7	2	0	1	0	9
619	1	2	1	0	1	0	92
619	1	6	1	0	1	0	22
619	1	7	1	0	1	0	81
620	1	2	2	0	1	0	93
620	1	6	1	0	1	0	22
620	1	7	1	0	1	0	81
621	1	2	2	0	1	0	91
621	1	6	1	0	1	0	22
621	1	7	1	0	1	0	82
625	1	2	3	0	1	0	92
625	1	7	2	0	1	0	81
626	1	2	2	0	1	0	93
626	1	6	1	0	1	0	109
626	1	7	1	0	1	0	81
627	1	2	2	0	1	0	93
627	1	6	1	0	1	0	109
627	1	7	1	0	1	0	81
631	1	2	3	0	1	0	7
631	1	6	1	0	1	0	22
631	1	7	2	0	1	0	10
632	1	1	1	0	1	1	48
632	1	2	6	0	1	0	92
632	1	6	1	0	1	0	22
632	1	7	4	0	1	0	103
636	1	2	2	0	1	0	7
636	1	6	1	0	1	0	22
636	1	7	1	0	1	0	10
637	1	2	3	0	1	0	7
637	1	6	1	0	1	0	22
637	1	7	2	0	1	0	10
638	1	2	3	0	1	0	7
638	1	6	1	0	1	0	22
638	1	7	2	0	1	0	10
639	1	2	2	0	1	0	7
639	1	6	1	0	1	0	22
639	1	7	1	0	1	0	10
641	1	2	3	0	1	0	3
641	1	6	1	0	1	0	22
641	1	7	2	0	1	0	10
642	1	2	2	0	1	0	7
642	1	6	1	0	1	0	22
642	1	7	1	0	1	0	10
643	1	2	3	0	1	0	7
643	1	6	1	0	1	0	22
643	1	7	2	0	1	0	10
645	1	2	3	0	1	0	7
645	1	6	1	0	1	0	22
645	1	7	2	0	1	0	10
646	1	2	2	0	1	0	92
