ReportNo	SubReportName	StoredProcName	DatasetUserName	Description
1	KNOTE	dbo.vida_KONTRAKT_Note	DS_KNOTE	
1	CertWood	dbo.vis_contract_CertText	DS_CertWood	
2	KNOTE	dbo.vida_KONTRAKT_Note	DS_KNOTE	
2	CertWood	dbo.vis_contract_CertText	DS_CertWood	
306	KNOTE	dbo.vida_KONTRAKT_Note	DS_KNOTE	
304	KNOTE	dbo.vida_KONTRAKT_Note	DS_KNOTE	
307	KNOTE	dbo.vida_KONTRAKT_Note	DS_KNOTE	
111	CertWood	dbo.vis_invoice_CertText_FR	DS_CertWood	
111	ShipTo	dbo.vis_shipto_FR	DS_ShipTo	
38	LONOTE	dbo.vida_LO_Note_FR	DS_LONOTE	
39	FSNOTE	dbo.vida_FS_Note_FR	DS_FSNOTE	
41	FSNOTE	dbo.vida_FS_Note_FR	DS_FSNOTE	
42	LevAdr	dbo.vida_Adr_FR	DS_LEV_ADR	
42	TrpBrevNote	dbo.vida_TrpBrev_Note_FR	DS_TrpBrev_ADR	
108	AOOutput01	dbo.Vis_AOOutput_FR	DS_AOOutput	
108	AOInput01	dbo.Vis_AOInput_FR	DS_AOInput	
95	CertWood	dbo.vis_invoice_CertText_FR	DS_CertWood	
95	ShipTo	dbo.vis_shipto_FR	DS_ShipTo	
97	CertWood	dbo.vis_invoice_CertText_FR	DS_CertWood	
94	CertWood	dbo.vis_invoice_CertText_FR	DS_CertWood	
94	ShipTo	dbo.vis_shipto_FR	DS_ShipTo	
106	CertWood	dbo.vis_invoice_CertText_FR	DS_CertWood	
106	ShipTo	dbo.vis_shipto_FR	DS_ShipTo	
107	CertWood	dbo.vis_invoice_CertText_FR	DS_CertWood	
107	ShipTo	dbo.vis_shipto_FR	DS_ShipTo	
559	LONOTE	dbo.vida_LO_Note	DS_LO_NOTE	
560	LONOTE	dbo.vida_LO_Note	DS_LO_NOTE	
299	LONOTE	dbo.vida_LO_Note_FR	DS_LONOTE	
561	LONOTE	dbo.vida_LO_Note	DS_LO_NOTE	
296	LONOTE	dbo.vida_LO_Note_FR	DS_LONOTE	
564	CertWood	dbo.vis_contract_CertText	DS_CertWood	
564	KNOTE	dbo.vida_KONTRAKT_Note	DS_KNOTE	
303	KNOTE	dbo.vida_KONTRAKT_Note_FR	DS_KNOTE	
303	CertWood	dbo.vis_contract_CertText_FR	DS_CertWood	
21	LONOTE	dbo.vida_LO_Note_FR	DS_LONOTE	
23	TRP_Avro_NOTE	dbo.vis_AVROP_trporder_note_FR	DS_AVROP_TRP_ORDER	
23	TRPNOTE	dbo.vida_trporder_note_FR	DS_TRPORDERNOTE	
566	Trp_Avrop_Note	dbo.vis_AVROP_trporder_Note_FR	DS_VIS_TRPORDER_NOTE	
566	TRPNOTE	dbo.vida_trporder_Note_FR	DS_VIDA_TRPORDER_NOTE	
567	TRP_Avrop_NOTE	dbo.vis_AVROP_trporder_note_FR	DS_AVROP_TRP_ORDER	
567	TRPNOTE	dbo.vida_trporder_note_FR	DS_TRPORDERNOTE	
32	LO_Avrop_Note	dbo.vis_AVROP_LO_Note_FR	DS_VIS_AVROP_LO_NOTE	
32	LONOTE	dbo.vida_LO_Note_FR	DS_VIDA_LONOTE	
34	LONOTE	dbo.vida_LO_Note_FR	DS_LONOTE	
295	LONOTE	dbo.vida_LO_Note_FR	DS_LONOTE	
294	LONOTE	dbo.vida_LO_Note_FR	DS_LONOTE	
31	KNOTE	dbo.vida_KONTRAKT_Note_FR	DS_KNOTE	
30	KNOTE	dbo.vida_KONTRAKT_Note_FR	DS_KNOTE	
28	KNOTE	dbo.vida_KONTRAKT_Note_FR	DS_KNOTE	
318	KNOTE	dbo.vida_KONTRAKT_Note_FR	DS_KNOTE	
570	TRPNOTE	dbo.vida_trporder_note_FR	DS_TRPORDERNOTE	
291	LONOTE	dbo.vida_LO_Note_FR	DS_LONOTE	
297	TRPNOTE	dbo.vida_trporder_note_FR	DS_TRPNOTE	
298	TRPNOTE	dbo.vida_trporder_note_FR	DS_TRPORDERNOTE	
314	Delivered_Avrop	dbo.vis_ShipdAvrop_FR	DS_ShipdAvrop	
71	KNOTE	dbo.vida_KONTRAKT_Note_FR	DS_KNOTE	
579	LONOTE	dbo.vida_LO_Note_FR	DS_VIDA_LO_NOTE	
579	vis_AVROP_ALO_Note	dbo.vis_AVROP_ALO_Note_FR	DS_VIS_ALO	
579	LONOTEINT4	dbo.vida_LO_Note_INT_FR	DS_VIDA_LONOTE_INT	
317	VIS_PkgCodeLayout	dbo.vis_PkgCodeLayout_FR	DS_Layout	
317	VIS_PkgCodeSearchName	dbo.vis_PkgCodeSearchName_FR	DS_SearchName	
588	Nos	dbo.vis_FSC_StatExtInvNos_FR	DS_Nos	
586	ShipTo	dbo.vis_ShipTo_FR	DS_ShipTo	
585	ShipTo	dbo.vis_ShipTo_FR	DS_ShipTo	
584	ShipTo	dbo.vis_ShipTo_FR	DS_ShipTo	
583	ShipTo	dbo.vis_ShipTo_FR	DS_ShipTo	
581	ShipTo	dbo.vis_ShipTo_FR	DS_ShipTo	
602	LONOTE	dbo.vida_LO_Note_FR	DS_VIDA_LO_NOTE	
604	Nos	dbo.vis_FSC_StatExtInvNos_FR	DS_Nos	
640	InputRawKorningRaw	dbo.vis_RawRun_FR	DS_InputRawKorningRaw	
