ReportNo	DocType	ReportName	Description	StoredProcName	DatasetUserName
5	3	LASTORDER_VERK_NOTE.fr3	Lastorder	dbo.vida_LO_VERK	DS_MAIN
11	624	TRP_AVROPSORDER_NOTE_SV.fr3	Trporder avrop försäljning	dbo.vida_TRP_AVROPSORDER_FR	DS_MAIN
15	1	KONTRAKT_NOTE.fr3	Försäljningskontrakt Svensk - utan instruktioner	dbo.vida_KONTRAKT_FR	DS_MAIN
16	1	CONTRACTProdInstru_NOTE_ver2_SV.fr3	Försäljningskontrakt Engelsk - med instruktioner	dbo.vida_KONTRAKT_ver2_FR	DS_MAIN
17	598	CONTRACT_NOTE_ENG.fr3	Försäljningskontrakt Engelsk - utan instruktioner	dbo.vida_KONTRAKT_FR	DS_MAIN
18	631	INCONTRACTProdInstru_NOTE_ver2_SV.fr3	Inköpskontrakt Svensk - med instruktioner	dbo.vida_KONTRAKT_ver2_FR	DS_MAIN
19	599	INCONTRACT_NOTE_SV.fr3	Inköpskontrakt Svensk - utan instruktioner	dbo.vida_KONTRAKT_FR	DS_MAIN
20	3	LASTORDER_NOTE_ver3_SV.fr3	Lastorder försäljning	dbo.vis_LO_v3_FR	DS_MAIN
21	602	LASTORDER_INKOP_NOTE_ver2.fr3	Lastorder inköp	dbo.vida_LO_v2	DS_MAIN
22	6	TRP_ORDER_NOTE_SV.fr3	Transportorder/Orderbekräftelse	dbo.vida_TRP_ORDER_FR	DS_MAIN
23	604	TRP_ORDER_INKOP_NOTE.fr3	Transportorder inköp LO 	dbo.vida_TRP_ORDER	DS_MAIN
28	616	CONTRACTProdInstru_NOTE_dk_ver2.fr3	Försäljningskontrakt  - med instruktioner (DK)	dbo.vida_KONTRAKT_ver2	DS_MAIN
29	615	CONTRACT_NOTE_dk.fr3	Försäljningskontrakt - utan instruktioner (DK)	dbo.vida_KONTRAKT	DS_MAIN
30	614	INCONTRACTProdInstru_NOTE_dk_ver2.fr3	Inköpskontrakt - med instruktioner (DK)	dbo.vida_KONTRAKT	DS_MAIN
31	613	INCONTRACT_NOTE_dk.fr3	Inköpskontrakt  - utan instruktioner (DK)	dbo.vida_KONTRAKT	DS_MAIN
32	607	LASTORDER_NOTE_dk_ver2.fr3	Lastorder försäljning (DK)	dbo.vida_LO_v2	DS_MAIN
34	608	LASTORDER_INKOP_NOTE_dk_ver2.fr3	Lastorder inköp (DK)	dbo.vida_LO_VERK_v2	DS_MAIN
36	611	CONTRACTProdInstru_NOTE_dk_eng_ver2.fr3	Försäljningskontrakt  - med instruktioner (DK/ENG)	dbo.vida_KONTRAKT_ver2	DS_MAIN
37	612	CONTRACT_NOTE_dk_eng.fr3	Försäljningskontrakt - utan instruktioner (DK/ENG)	dbo.vida_KONTRAKT	DS_MAIN
38	8	LASTORDER_INKOP_NOTE_dk_eng_ver2.fr3	Lastorder inköp (DK/ENG)	dbo.vida_LO_VERK_v2	DS_MAIN
39	10	TALLY_VER2_INKOP_NOTE.fr3	Följesedel inköp	dbo.vida_PopTally_II	DS_MAIN
41	12	TALLY_US_NOTE.fr3	Följesedel försäljning USA	dbo.vida_PopTally_II	DS_MAIN
42	13	TRP_BREV.fr3	Transport brev	dbo.vida_TrpBrv_II	DS_MAIN
43	4	TALLY_NOTE_VER3_SV.fr3	Följesedel försäljning	dbo.vis_PopTally_III_FR	DS_MAIN
48	1	Försäljningskontrakt-proforma(ENG).fr3	Försäljningskontrakt  - proforma (ENG)	dbo.vida_KONTRAKT_ver2_FR	DS_MAIN
55	4	TALLY_INTERNAL_VER3_NOTE.fr3	Följesedel (intern)	dbo.vis_PopTally_IntTable_II	DS_MAIN
56	4	TALLY_NOTE_VER3_ENG.fr3	Följesedel försäljning (engelska)	dbo.vis_PopTally_III_FR	DS_MAIN
61	1	Försäljningskontrakt-proforma_SV.fr3	Försäljningskontrakt  - proforma (SE)	dbo.vida_KONTRAKT_ver2_FR	DS_MAIN
65	621	AVROPSORDER_NOTE_STATUS_ver3_SV.fr3	Avrop	dbo.vis_Avrop_STATUS_v3_FR	DS_MAIN
